round,1,2,3,4,5,6
959,1,14,15,24,40,41
958,2,9,10,16,35,37
957,4,15,24,35,36,40
956,10,11,20,21,25,41
955,4,9,23,26,29,33
954,1,9,26,28,30,41
953,7,9,22,27,37,42
952,4,12,22,24,33,41
951,2,12,30,31,39,43
950,3,4,15,22,28,40
949,14,21,35,36,40,44
948,13,18,30,31,38,41
947,3,8,17,20,27,35
946,9,18,19,30,34,40
945,9,10,15,30,33,37
944,2,13,16,19,32,33
943,1,8,13,36,44,45
942,10,12,18,35,42,43
941,12,14,25,27,39,40
940,3,15,20,22,24,41
939,4,11,28,39,42,45
938,4,8,10,16,31,36
937,2,10,13,22,29,40
936,7,11,13,17,18,29
935,4,10,20,32,38,44
934,1,3,30,33,36,39
933,23,27,29,31,36,45
932,1,6,15,36,37,38
931,14,15,23,25,35,43
930,8,21,25,38,39,44
929,7,9,12,15,19,23
928,3,4,10,20,28,44
927,4,15,22,38,41,43
926,10,16,18,20,25,31
925,13,24,32,34,39,42
924,3,11,34,42,43,44
923,3,17,18,23,36,41
922,2,6,13,17,27,43
921,5,7,12,22,28,41
920,2,3,26,33,34,43
919,9,14,17,18,42,44
918,7,11,12,31,33,38
917,1,3,23,24,27,43
916,6,21,22,32,35,36
915,2,6,11,13,22,37
914,16,19,24,33,42,44
913,6,14,16,21,27,37
912,5,8,18,21,22,38
911,4,5,12,14,32,42
910,1,11,17,27,35,39
909,7,24,29,30,34,35
908,3,16,21,22,23,44
907,21,27,29,38,40,44
906,2,5,14,28,31,32
905,3,4,16,27,38,40
904,2,6,8,26,43,45
903,2,15,16,21,22,28
902,7,19,23,24,36,39
901,5,18,20,23,30,34
900,7,13,16,18,35,38
899,8,19,20,21,33,39
898,18,21,28,35,37,42
897,6,7,12,22,26,36
896,5,12,25,26,38,45
895,16,26,31,38,39,41
894,19,32,37,40,41,43
893,1,15,17,23,25,41
892,4,9,17,18,26,42
891,9,13,28,31,39,41
890,1,4,14,18,29,37
889,3,13,29,38,39,42
888,3,7,12,31,34,38
887,8,14,17,27,36,45
886,19,23,28,37,42,45
885,1,3,24,27,39,45
884,4,14,23,28,37,45
883,9,18,32,33,37,44
882,18,34,39,43,44,45
881,4,18,20,26,27,32
880,7,17,19,23,24,45
879,1,4,10,14,15,35
878,2,6,11,16,25,31
877,5,17,18,22,23,43
876,5,16,21,26,34,42
875,19,22,30,34,39,44
874,1,15,19,23,28,42
873,3,5,12,13,33,39
872,2,4,30,32,33,43
871,2,6,12,26,30,34
870,21,25,30,32,40,42
869,2,6,20,27,37,39
868,12,17,28,41,43,44
867,14,17,19,22,24,40
866,9,15,29,34,37,39
865,3,15,22,32,33,45
864,3,7,10,13,25,36
863,16,21,28,35,39,43
862,10,34,38,40,42,43
861,11,17,19,21,22,25
860,4,8,18,25,27,32
859,8,22,35,38,39,41
858,9,13,32,38,39,43
857,6,10,16,28,34,38
856,10,24,40,41,43,44
855,8,15,17,19,43,44
854,20,25,31,32,36,43
853,2,8,23,26,27,44
852,11,17,28,30,33,35
851,14,18,22,26,31,44
850,16,20,24,28,36,39
849,5,13,17,29,34,39
848,1,2,16,22,38,39
847,12,16,26,28,30,42
846,5,18,30,41,43,45
845,1,16,29,33,40,45
844,7,8,13,15,33,45
843,19,21,30,33,34,42
842,14,26,32,36,39,42
841,5,11,14,30,33,38
840,2,4,11,28,29,43
839,3,9,11,12,13,19
838,9,14,17,33,36,38
837,2,25,28,30,33,45
836,1,9,11,14,26,28
835,9,10,13,28,38,45
